NEIGHBORHOODA1:S23316,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE DATE,"SALE
PRICE",YEAR BUILT
BATH BEACH               ,NA                                  ,4,6370,1308,RP, 88 BAY 20TH   STREET                      ,P7          ,11214,0,0,1,0,0,4, RP ,11/19/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1309,RP, 88 BAY 20TH   STREET                      ,P8          ,11214,0,0,1,0,0,4, RP ,4/22/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1310,RP, 88 BAY 20TH   STREET                      ,P9          ,11214,0,0,1,0,0,4, RP ,11/12/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1311,RP, 88 BAY 20TH   STREET                      ,P10         ,11214,0,0,1,0,0,4, RP ,2/8/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1312,RP, 88 BAY 20TH   STREET                      ,P11         ,11214,0,0,1,0,0,4, RP ,11/13/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1313,RP, 88 BAY 20TH   STREET                      ,P12         ,11214,0,0,1,0,0,4, RP ,11/13/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1321,RP, 98 BAY 20TH   STREET                      ,P1          ,11214,0,0,1,0,0,4, RP ,12/7/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1322,RP, 98 BAY 20TH   STREET                      ,P2          ,11214,0,0,1,0,0,4, RP ,2/15/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1323,RP, 98 BAY 20TH   STREET                      ,P3          ,11214,0,0,1,0,0,4, RP ,1/9/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1324,RP, 98 BAY 20TH   STREET                      ,P4          ,11214,0,0,1,0,0,4, RP ,1/7/2013,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1325,RP, 98 BAY 20TH   STREET                      ,P5          ,11214,0,0,1,0,0,4, RP ,11/7/2012,$0 ,2011
BATH BEACH               ,NA                                  ,4,6370,1326,RP, 98 BAY 20TH   STREET                      ,P6          ,11214,0,0,1,0,0,4, RP ,6/25/2013,$0 ,2011
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6363,23,A9, 8641 16TH AVENUE                          ,            ,11214,1,0,1,"2,058","1,492",1, A9 ,6/6/2013,"$560,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69,A1, 8658 BAY 16TH   STREET                    ,            ,11214,1,0,1,"4,833","1,724",1, A1 ,12/18/2012,"$860,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6371,21,A9, 73 BAY 20TH   STREET                      ,            ,11214,1,0,1,"2,417","2,132",1, A9 ,8/24/2012,"$508,000 ",1930
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6378,64,A1, 56 BAY 28TH   STREET                      ,            ,11214,1,0,1,"3,867","1,704",1, A1 ,6/18/2013,"$600,000 ",1899
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6379,42,S1, 2142 86TH   STREET                        ,            ,11214,1,1,2,"1,600","2,640",1, S1 ,12/14/2012,$0 ,1925
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,69,S1, 8662 BAY PARKWAY                          ,            ,11214,1,1,2,"2,707","3,304",1, S1 ,11/29/2012,"$820,000 ",1960
BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6395,20,A5, 135 BAY 10TH STREET                       ,            ,11228,1,0,1,"2,417","2,000",1, A5 ,11/14/2012,"$690,000 ",1935
